NAME,ESTIMATESBASE2020,POPESTIMATE2023,NPOPCHG_2023,BIRTHS2023,DEATHS2023,NATURALCHG2023,INTERNATIONALMIG2023,DOMESTICMIG2023,NETMIG2023,RESIDUAL2023,GQESTIMATES2023
Alabama,5025437,5117850,40982,58640,60111,-1471,12621,29774,42395,58,142803
Alaska,733383,734654,995,9130,5616,3514,2335,-4913,-2578,59,31709
Arizona,7158104,7452073,82008,78678,70826,7852,39747,34804,74551,-395,163528
Arkansas,3011530,3069856,22427,35330,36406,-1076,5592,17825,23417,86,83707
California,39555703,39181667,56320,410395,303116,107279,292113,-343891,-51778,819,892034
Colorado,5775326,5912240,58885,62233,45204,17029,35920,6008,41928,-72,127168
Connecticut,3607750,3641369,22662,35082,33014,2068,27669,-6498,21171,-577,108738
Delaware,989950,1035354,15075,10721,10983,-262,5322,9872,15194,143,23735
District of Columbia,689544,682559,8058,8055,5050,3005,7870,-2706,5164,-111,36611
Florida,21538207,22929248,515259,224378,231949,-7571,333449,183646,517095,5735,483543
Georgia,10713861,11063669,133677,126265,98375,27890,52726,52348,105074,713,252806
Hawaii,1455267,1434950,-2862,15245,12979,2266,6350,-11327,-4977,-151,39899
Idaho,1839123,1970497,27546,22357,16829,5528,7179,14713,21892,126,50218
Illinois,12821741,12633389,23812,127000,116926,10074,94146,-79784,14362,-624,290369
Indiana,6786605,6881373,39882,79708,72091,7617,29749,3077,32826,-561,176529
Iowa,3190582,3214739,12849,36415,32987,3428,13275,-3502,9773,-352,100170
Kansas,2937986,2949749,11715,34681,30221,4460,12815,-5284,7531,-276,86725
Kentucky,4506287,4549953,28715,52597,54273,-1676,23457,7154,30611,-220,121147
Louisiana,4657894,4598777,-2115,56694,50219,6475,22784,-31283,-8499,-91,123826
Maine,1363218,1401992,10407,11925,17066,-5141,5713,9859,15572,-24,43341
Maryland,6181640,6204927,21670,67632,54005,13627,39681,-31484,8197,-154,126375
Massachusetts,7033112,7073479,48014,68137,61772,6365,77588,-35360,42228,-579,257890
Michigan,10079362,10062124,18218,100955,106173,-5218,41616,-17137,24479,-1043,218020
Minnesota,5706733,5752998,25433,62997,49962,13035,24846,-11777,13069,-671,141192
Mississippi,2961264,2942470,1233,35099,35712,-613,5371,-3356,2015,-169,90721
Missouri,6154913,6205956,26671,68355,68565,-210,17573,9682,27255,-374,162928
Montana,1084221,1130612,9079,11027,11433,-406,412,9017,9429,56,29265
Nebraska,1961980,1988172,15577,24579,18435,6144,10738,-1074,9664,-231,47451
Nevada,3105593,3211077,33405,32747,29391,3356,22304,8165,30469,-420,36020
New Hampshire,1377573,1401530,4883,12098,14334,-2236,2847,4458,7305,-186,41990
New Jersey,9289024,9395315,96913,102445,77211,25234,114014,-41714,72300,-621,173660
New Mexico,2117492,2119349,6490,21582,22367,-785,9044,-1524,7520,-245,43093
New York,20203696,19786543,73518,205879,166689,39190,211383,-177852,33531,797,659422
North Carolina,10441392,10871849,166081,121274,108957,12317,53771,98929,152700,1064,286055
North Dakota,779136,787071,6880,9729,6936,2793,3158,930,4088,-1,30056
Ohio,11799445,11808390,43440,128738,131764,-3026,47116,1045,48161,-1695,290476
Oklahoma,3959354,4062716,37389,48864,45126,3738,11204,22671,33875,-224,117261
Oregon,4237282,4250392,4428,38822,43482,-4660,16833,-7370,9463,-375,103344
Pennsylvania,13002753,13009406,24751,129053,141231,-12178,63364,-24570,38794,-1865,436442
Rhode Island,1097357,1101183,2908,10049,10543,-494,6846,-3254,3592,-190,44067
South Carolina,5118250,5390798,101841,58198,59063,-865,21668,79536,101204,1502,140384
South Dakota,886656,917739,8583,11183,8586,2597,1361,4514,5875,111,32216
Tennessee,6912319,7153029,89704,83201,81142,2059,26129,60397,86526,1119,149197
Texas,29149498,30719247,601245,390308,231625,158683,251690,188667,440357,2205,624449
Utah,3271601,3449259,55331,45440,21147,24293,30456,547,31003,35,55486
Vermont,643077,647722,108,5089,6833,-1744,1185,782,1967,-115,24971
Virginia,8631419,8732034,50996,94600,79649,14951,44282,-8117,36165,-120,237454
Washington,7707519,7838655,51827,82165,67733,14432,55706,-17511,38195,-800,155893
West Virginia,1793759,1770036,-3967,16983,25805,-8822,1750,3348,5098,-243,52120
Wisconsin,5894323,5930350,26878,60074,58672,1402,18553,7744,26297,-821,141218
Wyoming,576872,584666,2924,6065,5701,364,816,1776,2592,-32,13820
Puerto Rico,3285874,3203794,-16354,18886,35186,-16300,-54,0,-54,0,37551