Country,GDP,GPI
Albania,27177735528,1.809
Algeria,263619794507,2.11
Angola,80396942242,2.043
Argentina,633266692534,1.855
Armenia,25786585950,2.052
Australia,1752193307380,1.536
Austria,521642466922,1.124
Azerbaijan,74315882353,2.248
Bahrain,47736702128,2.072
Bangladesh,450119424622,2.126
Belarus,75961865472,2.291
Belgium,664564181487,1.51
Benin,21482643720,2.306
Bolivia,49668296744,2.009
Bosnia and Herzegovina,28343394203,1.961
Botswana,19400774882,1.863
Brazil,2179412080829,2.589
Bulgaria,112211952704,1.629
Burkina Faso,23250214910,2.969
Burundi,2162378759,2.567
Cambodia,46352647035,2.028
Cameroon,51326764685,2.773
Canada,2241253230970,2.449
Central African Republic,2751544520,3.009
Chad,20625711665,2.704
Chile,330267137372,1.978
China,18743803170827,2.101
Colombia,418542042920,2.887
"Congo, Dem. Rep.",70749355652,3.264
"Congo, Rep.",15719985776,2.261
Costa Rica,95350423177,1.95
Cote d'Ivoire,86538413923,2.255
Croatia,92526176109,1.504
Cyprus,36333022329,2.101
Czechia,345036675975,1.459
Denmark,429457372072,1.382
Djibouti,4086402719,2.374
Dominica,688881481.5,
Dominican Republic,124282245639,2.157
Ecuador,124676074700,2.572
"Egypt, Arab Rep.",389059911004,2.212
El Salvador,35364960000,2.25
Equatorial Guinea,12765777677,2.132
Estonia,42764929169,1.615
Eswatini,4891883720,2.209
Finland,299835625551,1.474
France,3162079073496,2.088
Gabon,20867044936,2.372
"Gambia, The",2507519958,2.079
Georgia,33776141251,2.195
Germany,4659929336891,1.542
Ghana,82825288889,1.938
Greece,257144811302,1.793
Guatemala,113199586004,2.332
Guinea,25334307879,2.423
Guinea-Bissau,2119865935,2.085
Guyana,24835899826,2.286
Haiti,25224154991,2.827
Honduras,37093565854,2.415
Hungary,222904723252,1.502
Iceland,33462807983,1.112
India,3912686168582,2.319
Indonesia,1396300098191,1.857
"Iran, Islamic Rep.",436906331672,2.682
Iraq,279641257615,3.045
Ireland,577389475010,1.124
Israel,540379921262,3.115
Italy,2372774547793,1.692
Jamaica,19930288337,2.119
Japan,4026210821147,1.525
Jordan,53352289577,1.998
Kazakhstan,288406138231,1.954
Kenya,124498691699,2.409
Kuwait,160227273001,1.622
Kyrgyz Republic,17478259659,2.053
Lao PDR,16502933121,1.861
Latvia,43520773851,1.661
Lesotho,2271541846,2.461
Liberia,4750000000,2.025
Libya,46636278902,2.528
Lithuania,84869215513,1.672
Madagascar,17420814801,1.838
Malawi,11008925323,2.063
Malaysia,421972102254,1.427
Mali,26588067731,3.095
Mauritania,10766731874,2.136
Mauritius,14952555415,1.577
Mexico,1852722885258,2.778
Moldova,18200340854,1.976
Mongolia,23586055802,1.845
Montenegro,8069536126,1.746
Morocco,154430996473,2.054
Mozambique,22416650343,2.25
Myanmar,74079772652,2.943
Namibia,13372354269,1.972
Nepal,42914268287,2.069
Netherlands,1227543925316,1.527
New Zealand,260235932559,1.323
Nicaragua,19693982968,2.295
Niger,19537639288,2.792
Nigeria,187759703100,2.907
North Macedonia,16685236492,1.764
Norway,483727398216,1.638
Oman,106942782835,1.761
Pakistan,373071855732,2.872
Panama,86260400000,2.872
Papua New Guinea,32538480024,2.315
Paraguay,44458118400,2.044
Peru,289221969060,2.179
Philippines,461617509782,2.21
Poland,914696430325,1.678
Portugal,308683317393,2.372
Qatar,217982967033,1.656
Romania,382767571329,1.755
Russian Federation,2173835806672,3.249
Rwanda,14251642231,2.12
Saudi Arabia,1237529866667,2.206
Senegal,32267254425,2.084
Serbia,89083506277,1.93
Sierra Leone,7547843281,1.993
Singapore,547386645892,1.339
Slovak Republic,141775733420,1.092
Slovenia,72485008929,1.395
"Somalia, Fed. Rep.",12108515110,3.091
South Africa,400260724226,2.507
Spain,1722745978335,1.58
Sri Lanka,98963185510,2.195
Sudan,49909807030,3.327
Sweden,610117791237,1.782
Switzerland,936564198049,1.35
Tajikistan,14204575549,2.035
Tanzania,78779864877,1.987
Thailand,526411265428,2.048
Timor-Leste,1881265333,1.882
Togo,9925732120,2.381
Trinidad and Tobago,26428963758,2.092
Tunisia,53409988745,2.044
Turkiye,1323254808059,2.78
Turkmenistan,64239891739,2.079
Uganda,53651874314,2.477
Ukraine,190741263732,3.28
United Arab Emirates,537078829135,1.897
United Kingdom,3643834188783,1.703
United States,29184890000000,2.622
Uruguay,80961511074,1.893
Uzbekistan,114965293467,1.957
Viet Nam,476388230307,1.802
Zambia,26325775287,1.948
Zimbabwe,44187704410,2.396