"Time","Mesa Verde National Park","Mount Rainier National Park","National Park of American Samoa","New River Gorge National Park & Preserve","North Cascades National Park","Olympic National Park","Petrified Forest National Park","Pinnacles National Park"
"2004-01-01",24,37,0,0,7,25,11,8
"2004-02-01",26,27,0,6,7,36,9,7
"2004-03-01",35,37,0,5,11,32,13,8
"2004-04-01",36,48,0,5,15,51,19,11
"2004-05-01",49,70,0,11,18,51,18,7
"2004-06-01",39,76,0,9,21,62,10,6
"2004-07-01",43,79,0,10,22,75,11,7
"2004-08-01",31,68,0,7,20,67,11,5
"2004-09-01",32,51,0,10,13,39,9,4
"2004-10-01",27,43,0,8,7,20,10,6
"2004-11-01",17,32,0,3,4,23,10,5
"2004-12-01",22,36,0,5,6,16,10,4
"2005-01-01",23,33,0,4,7,20,11,3
"2005-02-01",23,34,0,5,8,27,14,5
"2005-03-01",32,37,0,5,11,39,16,11
"2005-04-01",35,37,0,8,10,38,17,10
"2005-05-01",38,57,0,9,14,47,16,10
"2005-06-01",42,64,0,12,16,49,15,6
"2005-07-01",39,81,0,9,20,56,11,5
"2005-08-01",30,64,0,8,18,49,9,5
"2005-09-01",22,45,0,6,8,28,10,6
"2005-10-01",24,28,0,9,10,20,9,5
"2005-11-01",20,26,0,6,7,18,10,4
"2005-12-01",19,27,0,5,6,19,9,4
"2006-01-01",27,27,0,6,7,25,10,5
"2006-02-01",22,30,0,4,7,26,10,6
"2006-03-01",31,27,0,4,8,28,12,7
"2006-04-01",36,29,0,7,10,31,14,9
"2006-05-01",42,42,0,10,14,45,14,9
"2006-06-01",44,52,0,9,14,49,12,6
"2006-07-01",41,64,0,10,16,56,10,4
"2006-08-01",31,54,0,8,17,47,11,4
"2006-09-01",27,37,0,8,9,28,9,7
"2006-10-01",25,26,0,10,8,19,8,5
"2006-11-01",20,32,0,3,5,17,7,5
"2006-12-01",18,22,0,3,4,14,9,3
"2007-01-01",19,22,0,4,7,19,9,4
"2007-02-01",22,22,0,4,6,20,9,4
"2007-03-01",27,22,0,5,6,27,12,8
"2007-04-01",29,25,0,6,7,29,13,7
"2007-05-01",33,39,0,10,12,43,13,6
"2007-06-01",34,46,0,9,12,42,10,4
"2007-07-01",31,53,0,11,15,48,11,4
"2007-08-01",26,47,0,9,14,36,8,3
"2007-09-01",24,31,0,6,9,25,9,4
"2007-10-01",24,22,0,7,6,18,9,4
"2007-11-01",16,20,0,4,5,16,9,4
"2007-12-01",15,21,0,3,5,14,7,3
"2008-01-01",18,22,0,3,5,16,10,4
"2008-02-01",22,23,0,3,5,20,10,4
"2008-03-01",25,23,0,5,6,23,12,7
"2008-04-01",25,24,0,6,6,26,14,6
"2008-05-01",30,36,0,8,11,35,13,5
"2008-06-01",28,42,0,7,10,38,10,4
"2008-07-01",27,56,0,8,14,43,8,3
"2008-08-01",22,49,0,7,12,38,8,3
"2008-09-01",22,31,0,6,8,22,8,3
"2008-10-01",17,20,0,6,5,15,8,3
"2008-11-01",14,17,0,2,4,14,8,3
"2008-12-01",12,14,0,2,3,11,7,3
"2009-01-01",16,19,0,3,5,15,8,3
"2009-02-01",16,18,0,3,4,19,8,3
"2009-03-01",22,20,0,4,5,20,10,6
"2009-04-01",23,22,0,5,7,23,9,7
"2009-05-01",29,35,0,7,8,30,10,5
"2009-06-01",29,43,0,7,11,38,10,5
"2009-07-01",30,56,0,8,11,42,11,4
"2009-08-01",20,47,0,7,12,37,9,5
"2009-09-01",23,33,1,6,8,23,9,4
"2009-10-01",19,22,1,7,5,17,10,4
"2009-11-01",15,19,0,3,4,14,7,4
"2009-12-01",13,19,0,2,4,13,8,3
"2010-01-01",15,21,0,2,5,17,8,3
"2010-02-01",17,21,0,3,5,20,8,3
"2010-03-01",17,24,0,5,5,24,9,7
"2010-04-01",21,25,1,5,7,25,10,9
"2010-05-01",29,36,1,7,8,31,12,7
"2010-06-01",28,45,0,9,7,34,9,5
"2010-07-01",25,58,0,9,10,36,9,4
"2010-08-01",21,47,0,6,9,32,7,5
"2010-09-01",18,28,0,6,7,21,7,4
"2010-10-01",13,19,0,6,5,14,8,4
"2010-11-01",11,17,0,3,3,11,6,4
"2010-12-01",10,17,0,2,3,9,6,3
"2011-01-01",14,20,0,2,4,16,7,4
"2011-02-01",14,20,0,3,4,14,8,4
"2011-03-01",18,18,0,4,5,16,8,5
"2011-04-01",21,20,0,6,4,19,9,7
"2011-05-01",31,29,0,7,7,28,11,7
"2011-06-01",27,40,0,8,8,31,10,6
"2011-07-01",27,52,0,10,10,41,10,5
"2011-08-01",22,49,0,9,9,35,9,4
"2011-09-01",19,35,0,7,6,27,9,4
"2011-10-01",16,21,0,7,4,14,9,4
"2011-11-01",11,16,0,3,3,12,7,3
"2011-12-01",10,17,0,2,3,10,7,4
"2012-01-01",15,45,0,3,4,12,8,4
"2012-02-01",14,20,0,4,3,15,8,5
"2012-03-01",17,19,0,4,3,15,9,5
"2012-04-01",19,21,0,5,5,18,9,7
"2012-05-01",26,30,0,6,6,24,9,6
"2012-06-01",25,41,0,8,6,27,10,4
"2012-07-01",23,49,0,9,9,38,11,5
"2012-08-01",20,46,0,8,10,34,9,5
"2012-09-01",17,35,0,6,7,20,9,4
"2012-10-01",14,19,0,6,4,12,9,4
"2012-11-01",10,18,0,3,3,9,7,4
"2012-12-01",9,17,0,2,3,10,7,3
"2013-01-01",13,20,0,2,3,13,7,8
"2013-02-01",13,19,0,3,3,14,7,12
"2013-03-01",16,21,0,5,4,17,9,9
"2013-04-01",18,21,0,5,4,17,9,8
"2013-05-01",25,32,0,7,6,25,12,8
"2013-06-01",26,42,0,8,7,28,11,9
"2013-07-01",24,52,0,8,9,34,10,7
"2013-08-01",21,48,0,7,9,31,9,6
"2013-09-01",21,32,0,6,6,17,8,5
"2013-10-01",15,20,0,6,4,13,11,4
"2013-11-01",11,18,0,3,3,11,7,5
"2013-12-01",11,18,0,2,3,11,7,6
"2014-01-01",13,21,0,2,4,16,8,8
"2014-02-01",13,20,0,3,3,18,8,6
"2014-03-01",17,21,0,4,4,19,10,7
"2014-04-01",20,23,0,6,4,20,10,8
"2014-05-01",26,33,0,6,6,27,10,8
"2014-06-01",27,56,0,8,8,32,10,6
"2014-07-01",28,56,0,8,9,38,10,7
"2014-08-01",22,50,0,7,9,35,8,6
"2014-09-01",20,37,0,6,7,22,8,5
"2014-10-01",16,22,0,6,5,15,14,5
"2014-11-01",12,19,0,2,4,13,7,6
"2014-12-01",11,19,0,2,4,13,8,5
"2015-01-01",23,22,0,3,4,16,8,6
"2015-02-01",17,22,0,3,4,18,9,8
"2015-03-01",33,25,0,4,5,21,12,8
"2015-04-01",20,28,0,5,6,24,9,8
"2015-05-01",27,39,1,7,8,35,11,7
"2015-06-01",29,51,0,8,9,36,11,6
"2015-07-01",30,53,0,9,13,41,11,6
"2015-08-01",26,46,0,8,11,37,10,6
"2015-09-01",23,35,0,7,7,24,9,5
"2015-10-01",17,26,0,7,5,17,12,5
"2015-11-01",13,25,0,3,4,15,7,5
"2015-12-01",12,22,0,3,5,18,8,4
"2016-01-01",15,26,0,3,5,18,8,6
"2016-02-01",17,23,0,3,4,19,9,8
"2016-03-01",20,25,0,5,5,23,12,8
"2016-04-01",28,28,0,6,6,27,11,10
"2016-05-01",28,36,1,8,9,32,14,10
"2016-06-01",29,47,0,10,9,39,12,7
"2016-07-01",30,58,0,9,13,41,11,7
"2016-08-01",24,54,1,7,12,40,10,6
"2016-09-01",24,33,0,7,8,30,9,6
"2016-10-01",18,22,0,6,6,18,12,6
"2016-11-01",14,14,1,3,5,15,8,8
"2016-12-01",12,12,0,2,4,15,8,7
"2017-01-01",14,12,0,3,5,19,9,8
"2017-02-01",17,14,0,3,6,21,10,10
"2017-03-01",20,16,0,5,6,24,12,13
"2017-04-01",24,17,0,6,6,26,11,15
"2017-05-01",29,32,0,6,9,31,12,11
"2017-06-01",30,40,0,8,12,38,13,10
"2017-07-01",30,55,0,9,14,45,11,9
"2017-08-01",24,54,0,7,13,36,9,8
"2017-09-01",23,52,0,5,8,27,10,7
"2017-10-01",18,31,0,5,4,19,11,7
"2017-11-01",13,20,0,3,3,16,8,8
"2017-12-01",13,20,0,2,3,15,9,8
"2018-01-01",15,16,0,3,5,19,9,9
"2018-02-01",16,17,0,3,5,24,10,11
"2018-03-01",20,32,0,4,6,26,13,12
"2018-04-01",25,43,0,5,7,26,12,13
"2018-05-01",30,57,0,7,9,35,13,12
"2018-06-01",27,65,0,8,12,42,13,10
"2018-07-01",27,100,0,9,15,48,13,10
"2018-08-01",27,85,0,7,15,44,11,9
"2018-09-01",24,62,0,6,10,26,11,8
"2018-10-01",20,45,0,6,8,19,14,8
"2018-11-01",14,35,0,4,5,16,9,9
"2018-12-01",13,37,0,3,4,16,9,9
"2019-01-01",17,35,0,3,5,21,9,8
"2019-02-01",16,34,0,4,5,19,10,9
"2019-03-01",21,36,0,4,6,25,14,12
"2019-04-01",25,38,0,6,7,26,13,13
"2019-05-01",27,61,0,6,10,34,19,13
"2019-06-01",31,77,1,9,12,43,15,10
"2019-07-01",29,95,0,9,15,45,15,10
"2019-08-01",25,80,1,8,15,39,11,9
"2019-09-01",24,54,0,6,10,27,12,8
"2019-10-01",20,37,0,7,7,20,15,8
"2019-11-01",15,28,0,3,4,16,10,8
"2019-12-01",13,27,0,3,5,16,10,7
"2020-01-01",17,30,1,4,5,21,12,9
"2020-02-01",17,31,0,4,5,23,11,10
"2020-03-01",17,21,0,4,4,16,10,9
"2020-04-01",13,17,1,3,4,16,7,6
"2020-05-01",20,28,1,7,8,23,18,11
"2020-06-01",26,53,1,10,12,29,15,12
"2020-07-01",26,69,1,11,18,44,13,11
"2020-08-01",23,76,1,10,19,41,12,9
"2020-09-01",24,48,1,8,13,30,12,8
"2020-10-01",24,36,1,7,9,19,14,9
"2020-11-01",13,26,1,4,5,14,11,9
"2020-12-01",12,27,1,6,4,14,12,8
"2021-01-01",14,24,1,17,5,18,10,10
"2021-02-01",15,22,1,11,5,18,10,11
"2021-03-01",18,26,1,12,7,23,16,13
"2021-04-01",23,31,1,15,9,33,15,13
"2021-05-01",26,44,1,22,13,36,16,14
"2021-06-01",33,76,1,22,19,51,16,11
"2021-07-01",29,84,1,21,22,52,15,10
"2021-08-01",24,71,1,15,16,47,11,8
"2021-09-01",22,57,0,14,14,28,11,7
"2021-10-01",16,32,1,14,9,22,14,6
"2021-11-01",15,22,0,8,5,16,9,8
"2021-12-01",10,22,0,8,5,15,9,8
"2022-01-01",16,26,1,8,9,25,13,16
"2022-02-01",17,30,1,9,9,28,14,15
"2022-03-01",20,30,1,12,12,28,16,14
"2022-04-01",24,37,1,14,12,34,15,13
"2022-05-01",27,48,1,15,16,42,14,12
"2022-06-01",26,55,1,18,17,46,14,10
"2022-07-01",26,78,1,19,21,53,12,10
"2022-08-01",23,71,1,16,22,45,10,8
"2022-09-01",23,53,1,15,17,29,12,8
"2022-10-01",19,29,1,14,12,22,14,8
"2022-11-01",14,18,1,10,7,18,10,8
"2022-12-01",13,18,1,7,6,18,10,7
"2023-01-01",16,20,1,9,9,24,10,10
"2023-02-01",16,24,1,9,8,23,12,11
"2023-03-01",20,18,2,13,12,25,14,13
"2023-04-01",20,16,1,15,11,27,14,16
"2023-05-01",25,20,2,17,15,44,14,14
"2023-06-01",28,23,1,20,20,54,13,13
"2023-07-01",27,38,1,21,23,55,12,11
"2023-08-01",22,36,1,17,23,45,10,8
"2023-09-01",24,25,1,17,16,32,11,10
"2023-10-01",21,21,1,17,13,22,13,10
"2023-11-01",14,12,1,13,8,18,10,10
"2023-12-01",12,11,1,8,8,23,10,10
"2024-01-01",16,27,1,10,10,25,11,13
"2024-02-01",16,53,1,10,11,31,12,12
"2024-03-01",18,23,1,15,14,30,15,17
"2024-04-01",20,29,1,15,15,35,13,16
"2024-05-01",24,43,1,19,20,48,15,15
"2024-06-01",25,56,1,21,27,52,12,12
"2024-07-01",22,76,1,23,32,58,11,9
"2024-08-01",21,74,1,20,25,49,10,9
"2024-09-01",20,49,1,18,21,33,11,9
"2024-10-01",16,34,1,19,15,22,12,9
"2024-11-01",9,17,1,10,7,19,9,10
"2024-12-01",11,10,1,8,7,21,10,10
"2025-01-01",13,12,1,9,13,26,9,11
"2025-02-01",13,11,1,10,10,26,10,11
"2025-03-01",16,15,1,13,14,34,12,12
"2025-04-01",16,19,1,15,16,34,11,12
"2025-05-01",23,29,1,18,21,49,12,12
"2025-06-01",20,54,1,21,24,57,10,11
"2025-07-01",20,99,1,22,29,64,10,11
"2025-08-01",18,60,1,18,28,48,9,10
"2025-09-01",18,39,1,17,19,28,9,8
"2025-10-01",14,29,1,18,16,23,13,9
"2025-11-01",9,14,1,8,9,20,9,9
"2025-12-01",10,14,1,7,11,20,9,9
"2026-01-01",12,20,1,9,13,28,9,11
"2026-02-01",13,22,1,10,12,32,11,12
"2026-03-01",15,22,1,14,13,34,13,15
"2026-04-01",14,23,1,15,14,35,11,14